确定的影响的范围,个人,局部人群,全球
1,1,0,0
1,0,1,0
1,0,1,0
1,1,0,0
1,1,0,0
1,0,1,0
1,0,0,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0,1
1,0,0,1
1,0,0,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
0,0,0,0
1,0,1,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
1,0,1,0
1,0,0,1
1,0,1,0
1,0,1,0
1,0,1,0
1,1,0,0
1,0,1,0
1,0,1,0
1,1,0,0
1,1,0,0
1,0,1,0
1,0,1,0
1,0,0,1
1,0,1,0
1,0,0,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
0,1,0,0
1,0,1,0
1,1,0,1
1,0,1,0
1,0,1,0
1,1,0,0
1,1,0,0
1,1,0,0
1,0,1,0
1,1,0,0
0,0,0,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
0,0,0,0
1,1,0,0
1,0,1,0
1,0,1,0
1,0,1,0
1,1,0,0
1,1,0,1
1,1,0,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,1,0,0
1,0,1,0
1,0,1,0
1,1,0,0
1,0,1,0
1,0,1,0
1,1,0,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,0,1
1,0,0,1
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,0,1,0
1,1,0,1
