Index,Social detriment,Loss of opportunity,Physical injury,Economic loss,Transparency,Justice and fairness,Privacy,Trust,Non-maleficence,Responsibility,Positive design that produces negative results that do not meet expectations,Negative design that produces negative results that meet expectations,Overly human-like and leading to ethics problems,Not human-like enough to cause ethics problems,Not enough beyond human to cause ethics problems,ethics issues caused by the wrong user group,ethics issues due to wrong user tasks,Infringements on human rights,Emotional or psychological injury
0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1
1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0
2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1
3,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
4,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0
5,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
7,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0
8,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1
9,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
10,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
11,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1
12,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1
13,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
14,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
15,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
16,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1
17,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
18,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
19,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1
20,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1
21,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
22,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
23,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
24,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0
25,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
26,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
27,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
28,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0
29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0
